case_id,input_tokens,local_hit_tokens,local_dram_hit_tokens,remote_hit_tokens,recompute_tokens,local_hit_rate,remote_hit_rate,effective_prefix_rate,kvt_normalized_ms,recompute_normalized_ms,effective_plan_normalized_ms,lookup_unknown_count,remote_evictions,remote_replica_factor,hotspot_max_mean,remote_bound_request_count,kvt_fixed_normalized_ms,kvt_wire_normalized_ms,hotspot_migrations,bandwidth_gbps,fixed_latency_ms,bytes_per_token,remote_capacity_blocks,kvcache_balancing_threshold,topology_mode,trace_sha256,config_sha256,git_sha,git_dirty,metric_unit,replay_mode
M5-LAT-1.0,202791701,99630906,4608,15475278,87680909,0.49129676169539105,0.07631119973691626,0.5676306842556639,41605.012760319754,4980275.631199991,4989429.367152628,0,164697,1.1386149887277117,1134.9248,313,1037.5,40567.51276031977,2075,100,1.0,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,838b4e6c826486d1ad46432407f5ee629ebff3ee6e3088c908cbc64647d7644b,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-LAT-5.0,202791701,102261772,36218,12755917,87737794,0.5042700046191733,0.06290157307768723,0.567350174749015,38043.87106047976,4983506.699199993,4992166.92127615,0,159476,1.1137345747761394,1088.8041775456918,288,4605.0,33438.871060479825,1842,100,5.0,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,ff6eb62e1e8276d3e50fd99982d8cb79931054fa69df0ec72e2f7c6c14cb1ce3,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-TIMEOUT-0.01,202791701,98731578,23552,16287965,87748606,0.48686202400363515,0.08031869607918521,0.567296858957754,42910.02296960006,4984120.820799996,4993957.262150396,232,166542,1.1485803546816136,1198.2802796293286,315,212.09999999999224,42697.922969599764,2121,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,156f6f085e8d5645e1b89d784633137006848b40423f864cba5a4da3464916ee,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-TIMEOUT-0.05,202791701,98776011,101376,15960096,87954218,0.4870811306030714,0.07870191887191676,0.5662829515888326,42042.13405824004,4995799.582399996,5005982.464729594,1153,166162,1.1482110871262572,1056.2867058195409,319,203.6999999999927,41838.43405823979,2037,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,c2b0ce44ab91e221252e2c3e2e389469254762f4f41aea3007951eb6d15664c2,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-TIMEOUT-0.2,202791701,100972681,12288,13347298,88459434,0.4979132799916699,0.06581777229631305,0.5637916464836005,35163.14086912015,5024495.851199985,5032831.308344311,4677,162044,1.1386668488533624,985.4573816155989,267,173.9999999999944,34989.14086911986,1740,100,0.2,65536,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,460e91a654fcf86571eaedbf1ed94e7e8e41f9b462fb9c343dd0d882186cee27,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-HYBRID-25000,202791701,98517189,1054120,15747242,87473150,0.48580483577086814,0.0776522999824337,0.5686551788428462,41487.85006848005,4968474.919999995,4978365.6014592,0,166830,1.1510393885678767,1168.9540725704135,318,207.3999999999925,41280.45006847977,2074,100,0.2,65536,50000,2.0,HYBRID,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,062a77eab07ecde2caa2f1634c2a5d35a6dc9d28d93643fa299d045bb7057be6,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-HYBRID-50000,202791701,98372634,1347309,15649544,87422214,0.4850920107425895,0.07717053470546115,0.5689063528294976,41230.440623360126,4965581.755199991,4975527.154186236,0,167118,1.1532695190866105,1204.0632030914555,312,206.09999999999258,41024.340623359756,2061,100,0.2,65536,50000,2.0,HYBRID,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,29c50871c59616b289c47961732a9aca6b33e22efcb1c681d21de66d92c884c2,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-HYBRID-100000,202791701,98372634,1347309,15649544,87422214,0.4850920107425895,0.07717053470546115,0.5689063528294976,41230.440623360126,4965581.755199991,4975527.154186236,0,167118,1.1532695190866105,1204.0632030914555,312,206.09999999999258,41024.340623359756,2061,100,0.2,65536,50000,2.0,HYBRID,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,df1f405e886c38e2fa6c65df483a1ad9d5dbf55d148586e5c531d99de6cf9e85,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-WORST-CORNER,202791701,112502622,0,2655723,87633356,0.554769359126782,0.01309581697329912,0.5678651761000811,278628.9400448006,4977574.620799988,5182747.89543038,0,139548,1.0252414443601467,473.5355191256831,594,156.19999999999968,278472.74004480074,781,25,0.2,327680,50000,2.0,SHARED_KVS,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,799918b34913ff3e271ce4a056a44aecfd3202ba1188a3bd93ba309bf7f79487,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
M5-LOCAL-ONLY,202791701,110599535,0,0,92192166,0.5453849169103818,0.0,0.5453849169103818,0.0,5236515.028799989,5236515.028799989,0,0,0.0,0.0,0,0.0,0.0,0,100,0.2,65536,50000,2.0,LOCAL_ONLY,b434f1816a707f4bac697235588184ebc374c9907cb981bb65fb0643471fe711,d7d3606b69fb6df699c810f1e32482027a33657703c9439347b29ad8eae421d6,6e74a37595d337858fc555dc86953d7ccf94a68f,False,NORMALIZED_MS,SEQUENTIAL_KVS
