accounting_conserved,arrival_scale,cache_capacity_entries,capacity_binding,cell_id,hit_ceiling,jain,minimum_tier,per_tier,queue_p95_normalized_work,regime,strategy,strict_output_goodput
True,0.8,183166,False,MEMORY_BOUND-0.8x-PRICED_SPILL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,PRICED_SPILL,0.1365802
True,0.8,183166,False,MEMORY_BOUND-0.8x-DECODE_CAUSAL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,DECODE_CAUSAL,0.1365802
True,1.0,183166,False,MEMORY_BOUND-1.0x-BASELINE,1.0,0.9998078771135096,0.8412133891213389,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8412133891213389}",3777.60000000082,MEMORY_BOUND,BASELINE,0.1365997
True,1.0,183166,False,MEMORY_BOUND-1.0x-PRICED_SPILL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,PRICED_SPILL,0.1365802
True,1.0,183166,False,MEMORY_BOUND-1.0x-DECODE_CAUSAL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,DECODE_CAUSAL,0.1365802
True,1.2,183166,False,MEMORY_BOUND-1.2x-BASELINE,1.0,0.9998078771135096,0.8412133891213389,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8412133891213389}",3777.60000000082,MEMORY_BOUND,BASELINE,0.1365997
True,1.2,183166,False,MEMORY_BOUND-1.2x-PRICED_SPILL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,PRICED_SPILL,0.1365802
True,1.2,183166,False,MEMORY_BOUND-1.2x-DECODE_CAUSAL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,DECODE_CAUSAL,0.1365802
True,1.5,183166,False,MEMORY_BOUND-1.5x-BASELINE,1.0,0.9998078771135096,0.8412133891213389,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8412133891213389}",3777.60000000082,MEMORY_BOUND,BASELINE,0.1365997
True,1.5,183166,False,MEMORY_BOUND-1.5x-PRICED_SPILL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,PRICED_SPILL,0.1365802
True,1.5,183166,False,MEMORY_BOUND-1.5x-DECODE_CAUSAL,1.0,0.9998144737190351,0.8403765690376569,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8403765690376569}",3772.6800000000744,MEMORY_BOUND,DECODE_CAUSAL,0.1365802
True,2.0,183166,False,MEMORY_BOUND-2.0x-BASELINE,1.0,0.9998052085322726,0.8414225941422594,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8414225941422594}",3777.5999999998885,MEMORY_BOUND,BASELINE,0.13658563333333334
True,2.0,183166,False,MEMORY_BOUND-2.0x-PRICED_SPILL,1.0,0.99981390587204,0.8405857740585774,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8405857740585774}",3772.6800000000744,MEMORY_BOUND,PRICED_SPILL,0.1365803
True,2.0,183166,False,MEMORY_BOUND-2.0x-DECODE_CAUSAL,1.0,0.99981390587204,0.8405857740585774,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.8405857740585774}",3772.6800000000744,MEMORY_BOUND,DECODE_CAUSAL,0.1365803
True,0.8,183166,False,MIXED-0.8x-BASELINE,1.0,0.9998625500317694,0.9366108786610878,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9366108786610878}",5364.191999999786,MIXED,BASELINE,0.1403464
True,0.8,183166,False,MIXED-0.8x-PRICED_SPILL,1.0,0.9998646084037808,0.9366108786610878,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9366108786610878}",5357.205600000292,MIXED,PRICED_SPILL,0.14036723333333334
True,0.8,183166,False,MIXED-0.8x-DECODE_CAUSAL,1.0,0.9998646084037808,0.9366108786610878,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9366108786610878}",5357.205600000292,MIXED,DECODE_CAUSAL,0.14036723333333334
True,1.0,183166,False,MIXED-1.0x-BASELINE,1.0,0.9998625500317694,0.9366108786610878,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9366108786610878}",5364.191999999786,MIXED,BASELINE,0.1403464
True,1.0,183166,False,MIXED-1.0x-PRICED_SPILL,1.0,0.9998646084037808,0.9366108786610878,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9366108786610878}",5357.205600000292,MIXED,PRICED_SPILL,0.14036723333333334
True,1.0,183166,False,MIXED-1.0x-DECODE_CAUSAL,1.0,0.9998646084037808,0.9366108786610878,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9366108786610878}",5357.205600000292,MIXED,DECODE_CAUSAL,0.14036723333333334
True,1.2,183166,False,MIXED-1.2x-BASELINE,1.0,0.9998611193697758,0.9368200836820084,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9368200836820084}",5364.191999999786,MIXED,BASELINE,0.1403465
True,1.2,183166,False,MIXED-1.2x-PRICED_SPILL,1.0,0.999863200064855,0.9368200836820084,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9368200836820084}",5357.205600000292,MIXED,PRICED_SPILL,0.14036733333333334
True,1.2,183166,False,MIXED-1.2x-DECODE_CAUSAL,1.0,0.999863200064855,0.9368200836820084,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9368200836820084}",5357.205600000292,MIXED,DECODE_CAUSAL,0.14036733333333334
True,1.5,183166,False,MIXED-1.5x-BASELINE,1.0,0.9998610654946563,0.9357740585774058,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9357740585774058}",5365.952799999411,MIXED,BASELINE,0.14034203333333334
True,1.5,183166,False,MIXED-1.5x-PRICED_SPILL,1.0,0.9998628743779522,0.9357740585774058,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9357740585774058}",5360.216000000058,MIXED,PRICED_SPILL,0.14036286666666667
True,1.5,183166,False,MIXED-1.5x-DECODE_CAUSAL,1.0,0.9996803554672619,0.7531380753138075,"{""RELAXED"": 1.0, ""STANDARD"": 0.9919177596596952, ""STRICT"": 0.7531380753138075}",1503.0983999991358,MIXED,DECODE_CAUSAL,0.12695773333333332
True,2.0,183166,False,MIXED-2.0x-BASELINE,1.0,0.9998603279827302,0.9351464435146444,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9351464435146444}",5396.567999999977,MIXED,BASELINE,0.14031086666666667
True,2.0,183166,False,MIXED-2.0x-PRICED_SPILL,1.0,0.9998615044023749,0.9353556485355649,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9353556485355649}",5390.660800000025,MIXED,PRICED_SPILL,0.1403318
True,2.0,183166,False,MIXED-2.0x-DECODE_CAUSAL,1.0,0.9998615044023749,0.9353556485355649,"{""RELAXED"": 1.0, ""STANDARD"": 1.0, ""STRICT"": 0.9353556485355649}",5390.660800000025,MIXED,DECODE_CAUSAL,0.1403318
